TransaccionID,TarjetaID,ComercioID,FechaHora,Monto,Ciudad,Canal
TRX000001,522,1,2026-03-11 23:07:54,111.1,Piura,POS
TRX000002,2258,4,2025-09-17 21:19:13,11.68,Lima,POS
TRX000003,620,28,2026-05-23 00:06:53,231.61,Trujillo,POS
TRX000004,438,99,2026-01-25 14:20:17,42.5,Lima,Web
TRX000005,485,48,2025-11-20 12:31:37,172.04,Piura,Web
TRX000006,1002,60,2025-07-16 08:25:56,36.18,Cusco,App
TRX000007,1109,83,2026-05-12 08:24:15,13.87,Lima,App
TRX000008,1432,59,2026-01-20 12:52:36,102.71,Lima,POS
TRX000009,2682,28,2026-03-10 00:19:32,0.34,Piura,Web
TRX000010,2084,39,2025-11-23 05:23:04,6.71,Lima,POS
TRX000011,192,97,2025-07-03 09:36:28,374.47,Arequipa,Web
TRX000012,906,34,2025-09-09 20:38:43,172.14,Piura,POS
TRX000013,314,74,2025-09-02 10:27:13,29.92,Arequipa,POS
TRX000014,2366,91,2025-12-31 08:24:50,122.86,Cusco,Web
TRX000015,311,39,2026-03-02 22:47:23,7.32,Arequipa,Web
TRX000016,1426,92,2025-12-11 13:01:09,22.75,Trujillo,ATM
TRX000017,188,91,2025-11-16 06:43:03,3.44,Cusco,Web
TRX000018,584,99,2025-10-17 22:56:07,10.11,Cusco,ATM
TRX000019,1601,55,2026-02-05 16:12:29,121.35,Lima,App
TRX000020,195,87,2026-03-12 16:40:02,108.85,Arequipa,POS
TRX000021,2268,6,2026-04-15 00:18:59,102.54,Trujillo,App
TRX000022,2417,48,2026-01-04 23:40:17,181.53,Arequipa,App
TRX000023,660,65,2026-01-18 17:43:15,62.01,Arequipa,Web
TRX000024,1130,9,2025-09-23 05:59:48,37.71,Cusco,App
TRX000025,2589,97,2025-09-29 05:54:32,16.77,Trujillo,Web
TRX000026,1269,14,2025-07-22 21:52:30,0.01,Trujillo,ATM
TRX000027,690,36,2026-05-11 11:50:08,55.01,Trujillo,Web
TRX000028,1251,91,2026-02-22 09:26:26,92.15,Piura,POS
TRX000029,1814,21,2026-06-10 07:21:01,96.59,Trujillo,POS
TRX000030,919,29,2026-05-24 20:46:50,232.5,Trujillo,ATM
TRX000031,1261,69,2025-12-07 16:49:11,401.36,Arequipa,POS
TRX000032,2090,16,2025-07-14 12:36:38,49.27,Arequipa,App
TRX000033,1804,100,2026-05-05 20:32:12,38.69,Lima,ATM
TRX000034,926,50,2026-05-01 06:39:49,54.37,Cusco,ATM
TRX000035,1023,59,2026-03-15 00:54:32,237.33,Cusco,Web
TRX000036,2489,56,2025-09-21 17:09:39,188.55,Piura,POS
TRX000037,1339,51,2026-04-10 09:39:11,87.07,Cusco,ATM
TRX000038,1395,70,2025-12-17 02:11:21,5.16,Lima,App
TRX000039,159,98,2026-01-05 06:59:11,210.48,Arequipa,ATM
TRX000040,2916,85,2025-10-14 21:37:24,115.57,Piura,App
TRX000041,1500,40,2026-01-31 13:45:18,169.37,Arequipa,App
TRX000042,91,18,2026-02-02 20:08:47,49.67,Arequipa,Web
TRX000043,1488,94,2025-06-12 21:54:00,390.35,Piura,Web
